shop,full_name,username,district,schedule_source,related_usernames,note
莫妮卡,杭州莫妮卡严选女仆群,mnkyxnp,西湖区,mnkyxnp,mnkyxnp|monikapaiban|anni1105697116,
赫兹,杭州赫兹女仆陪玩恋爱情绪助教馆,hertz_boom,西湖区,hertz_boom,hertz_boom|hertzjjboom|hertzootd|hezinvpuzhanshi,
逸梦,🌙Eve逸梦女仆❤️‍🔥,EveloveUo,西湖区,EveloveUo,EveloveUo|Everylove_u,
诺诺岛,诺诺岛 女仆恋爱体验馆,nuoyannvpu,西湖区,nuoyannvpucp,nuoyannvpu|nuoyannvpucp,
叶罗丽,叶罗丽精灵女仆,ylljlnpgroup,滨江区,ylljlmrpb,ylljlnpgroup|ylljlmrpb|ylljlcpq,
小狗诱饵,小狗诱饵女仆小酒馆,xghomebar,滨江区,xghomebar,xghomebar|xgyrgirls|xiaogouceping,
悠觅,悠觅Youmee女仆,Youmeenp002,滨江区,ymnpYoume01,Youmeenp002|ymnpYoume01|ymnpcp,
情书,杭州情书女仆,qingshujl,滨江区,qingshulatyg,qingshujl|qingshulatyg|qingshuwjhf,
慕斯,慕斯女仆,musinvpult,滨江区,musinvpult,musinvpult|musinvpu,
极品尤物,极品尤物少女恋爱馆,aklnptyj,滨江区,aklnptyj,aklnptyj|aklnppd|aklnpcppd,
樱花猫,杭州女仆樱花猫助教馆,yinghuamaozhujiao12138,滨江区,yinghuamaozhujiao12138,yinghuamaozhujiao12138,
玉兔,玉兔,yutuliaotia00,滨江区,yutukebiao,yutuliaotia00|yutukebiao|yutuceping0,
花前月下,州花前月下女仆,H_Steven_520,滨江区,H_Steven_520,H_Steven_520|Steven_315822|HZ_Steven_520,
克拉拉,杭州克拉拉女仆恋爱交流群,KLLJLQ12,余杭区,KLLJLQ12,KLLJLQ12|KLLcp12|KLLZL12,
喵之梦,喵之梦美少女助教,miaozhimengmeishaonv,拱墅区,miaozhimengmeishaonv,miaozhimengmeishaonv|miaozhimengzhishidawang,
小米,余杭小米恋爱馆,Xiaomi_jiaoliu,西湖区,Xiaomi_jiaoliu,Xiaomi_jiaoliu|Xiaominvpu,
异次元,杭州余杭异次元女仆馆,ycy_cos_channel02,拱墅区,ycy_cos_channel02,ycy_cos_channel02|ycy_chat|ycy_rate1,
月光逃离,光逃离·女仆频道,yuxi9258,余杭区,yuxi9258,yuxi9258|yuxi00788,
淘气堡,淘气堡交流群,taoqibao88888,余杭区,taoqibao88888,taoqibao88888|taoqibao8888|taoqibao88888888,
软萌学妹,杭州软萌学妹女仆,rmxmTop,余杭区,rmxmTalk,rmxmTop|rmxmTalk|rmxmTest|rmxmnp,
阡阡屿,杭州女仆恋爱阡阡屿体验馆,hangzhouzhuoyou,西湖区,hangzhouzhuoyou,hangzhouzhuoyou|qianqianyu8|qqyzl|qqycp,
九口蛇,杭州九口蛇女仆恋爱体验馆,jiukoushenp,钱塘区,jiukoushenp,jiukoushenp|jiukoushencpq,
咔奇玛,下沙咔奇玛恋爱体验馆,kaqimalianaiguan,钱塘区,kaqimalianaiguan,kaqimalianaiguan|Momkey666,
星茶荟,星茶荟🍿玩家交流群,xingchahui888,钱塘区,xingchahui888,xingchahui888|xchcp,
桃井兔,杭州下沙桃井兔女仆大学,TJT_daxue,钱塘区,TJT_daxue,TJT_daxue|taojingtudaxuejiaoliu|TJTxinchepin,
棉花棠,棉花棠•Honey 女神club,mhtnpg,钱塘区,mhtnpg,mhtnpg,
猫米物语,猫米物语恋爱体验馆情报局,hdybcjj,钱塘区,hdybdk,hdybcjj|hdhvdhn|hdybdk,
诗情画意,诗情画意桌游店,sqhy3557,钱塘区,sqhy3557,sqhy3557,
可琦安,可琦安恋爱日记,keqiansq888,萧山区,keqiansq888,keqiansq888|keqianpb888,
奶兔酱,奶兔酱顶颜杭州萧山旗舰小店,sssd1122,萧山区,sssd1122,sssd1122|naitujiangceping,
月亮,杭州月亮恋爱体验馆,Changejieyouchat,萧山区,Yueliangnupuguan,Changejieyouchat|Yueliangnupuguan|ylnpcpq,
桃幼岛,桃幼岛交流群,ytwjl,萧山区,ytwjl,ytwjl|ytwcp1|ytwzlg1,
碧蓝之海,州碧蓝之海女仆,hzblzhnppd,萧山区,hzblzhnppd,hzblzhnppd|blzhnvpu|blzhceping,这家店的排班是频道里面
谜邸,杭州谜邸女仆馆交流群💞,MiDi1988,临平区&其他,MiDi1988,MiDi1988|HZMiDi_CQ|HZMiDi_CPQ,
甜蜜到家,甜蜜到家 外派交流群,tmdj666888,临平区&其他,tmdj666888,tmdj666888,
棉花糖,棉花糖恋爱体验馆,mht96961124,临平区&其他,mhtxr1124,mht96961124|mhtxr1124,
跳跳糖,跳跳糖🍬女仆交流群,TTTangNPG,上城区,TTTangNPG,TTTangNPG|TTTangCPQ,
雨滴,拱墅雨滴女仆店,hangzhougongshuyudinvpu123,拱墅区,hangzhougongshuyudinvpu123,hangzhougongshuyudinvpu123|hzgsydnp1234,
五月花,五月花女仆,wuyuehuaqun,拱墅区,wuyuehuaqun,wuyuehuaqun|wuyuehuaqu,
卡米,卡米恋爱女仆馆,kamisamal,余杭区,kamisamal,kamisamal|kami25,
千寻,杭州女仆千寻恋爱体验馆,hangz4325,上城区,hangz4325,hangz4325|hanznvp|xmmpd,
chiikawa,chiikawa女仆恋爱体验馆,HZsgnv002,上城区,HZsgnv002,HZsgnv002|chiikawanvpu520|HZsgnv003,原拾光
萌柚MY,杭州萌柚MY女仆馆,HZMYnvpu,上城区,HZMYnvpu,HZMYnvpu|HZMYceping,
果味糖,杭州果味糖私影,hz_gwrt,西湖区,hz_gwrt,hz_gwrt|hz_gwrtpb|hz_gwrtcp,
归处,杭州归处女仆恋爱馆,hzguichulove,拱墅区,hzguichulove,hzguichulove|hzgclove,
樱花少女,樱花少女club,yhsnjl,萧山区,yhsnjl,yhsnjl|yhsncp,
伊甸园,杭州女仆伊甸园私影,nupu88,钱塘区,nupu88,YDY0571,
蜜园,蜜园恋爱女仆,hzmymmk1,拱墅区,hzmymmk1,hzmymmk1|hzmymmk,
网易严选,网易严选恋爱女仆馆,wyyxlanpg,滨江区,wyyxlanpg,wyyxlanpg|wyyxjiaoliuqun,
不几岛,杭州不几岛恋爱女仆馆,HZbujidaoNP,滨江区,HZbujidaoNP,HZbujidaoNP|HZbujidaoNPootd,
皇宫,皇宫,huanggong02,拱墅区,huanggong02,huanggong02,
美乐蒂,美乐蒂Melody恋爱屋,brent53b97f3,上城区,brent53b97f3,brent53b97f3,
星悦,杭州女仆星悦恋爱体验馆,asklhfdklsa,上城区,asklhfdklsa,asklhfdklsa,
前女友俱乐部,前女友俱乐部,qiannvyou520,上城区,qiannvyou520,qiannvyou520,
欢乐岛,杭州欢乐岛女仆恋爱馆,wygpb456,拱墅区,wygpb456,wygpb456|wangyouge999,
女儿国,杭州女儿国桌游私影恋爱茶馆,nverguo1112,拱墅区,nverguo1112,nverguo1112|nverguo112233,
神奈川,神奈川home,chuanchuanbaobao8866,萧山区,chuanchuanbaobao8866,chuanchuanbaobao8866|chuanchuanbaobao8800,
Kitty岛,Kitty岛 恋爱日记女仆馆,hello_kittynvpuguan,拱墅区,hello_kittynvpuguan,hello_kittynvpuguan|kittypingce_11,
Bingo,Bingo恋爱体验馆,Bingollllll,上城区,Bingollllll,Bingollllll|Bing_go520,
miumiu,miumiu女仆,miumiuOvO7,拱墅区,miumiuOvO7,miumiupaiban|miumiunvpu,
翻斗花园,翻斗花园女仆,fandouhuayuan_jlq,上城区,fandouhuayuan_jlq,fandouhuayuan_jlq|fandouhuayuan_pc,
曼秀雷敦,曼秀雷敦纯爱女仆,manxiuledunpb,上城区,manxiuledunpb,manxiuledunpb|Manxiuleidu|manxiuleiduncep,
恶霸兔,杭州恶霸兔女仆恋爱馆,HZEBATu,上城区,HZEBATu,HZEBATu|EBATUnpg|HZEBATUcp,
浅色,浅色女仆恋爱体验馆,QianSe_cp,上城区,QianSe_cp,QianSe_cp|QianSeNP_cs,
锦禧喵庭,锦禧喵庭女仆club,jxmtmmmm,上城区,jxmtmmmm,jxmtmmmm|jxmtmmm|jxmtmcpm,
月兔,月兔私影,yuetusiyuqz,上城区,yuetusiyuqz,yuetusiyuqz|yuetupaibani,
碎碎念,碎碎念女仆,suisuinan,余杭区,suisuinan,suisuinan|suisuiniannp|suisuinancp,
童话镇,童话镇女仆馆,tonghuazhen_fei,拱墅区,tonghuazhen_fei,tonghuazhen_fei|tonghuazhen_xiaofeifei|tonghuazhen_feifei,
空间派对,空间派对女仆,kongjianpaidui1,钱塘区,kongjianpaidui1,kongjianpaidui1|kongjianpaidui123,
花千树,杭州花千树恋爱体验馆,hqs0001,滨江区,hqs0001,hqs0001|hqs000,
萌酱丽莎,萌酱丽莎私影,MJLS99,西湖区,MJLS99,MJLS99|MJLS00|mjls0,
芯动,芯动女仆,dlsnp_pindao,上城区,dlsnp_pindao,SouSuoTop1|xindongceping,
